"","reaction_type","sampleID","starting_quantity","cpD1"
"1","all_products","499","NaN","27.39"
"2","all_products","523","NaN","27.32"
"3","all_products","547","NaN","25.70"
"4","all_products","571","NaN","27.45"
"5","all_products","595","NaN","26.16"
"6","all_products","619","NaN","26.63"
"7","all_products","642","NaN","28.81"
"8","all_products","667","NaN","28.36"
"9","all_products","691","NaN","27.43"
"10","all_products","715","NaN","28.09"
"11","all_products","1821","NaN","28.18"
"12","all_products","gblock+IRE_plus18IRE","50.00","7.40"
"13","all_products","gblock+IRE_plus18IRE","50.00","7.91"
"14","all_products","gblock+IRE_plus18IRE","50.00","8.16"
"18","all_products","1050","NaN","29.37"
"19","all_products","1040","NaN","24.47"
"20","all_products","1063","NaN","24.13"
"21","all_products","1061","NaN","24.81"
"22","all_products","1085","NaN","24.51"
"23","all_products","1275","NaN","22.63"
"24","all_products","1308","NaN","23.14"
"25","all_products","980","NaN","24.95"
"26","all_products","1451","NaN","28.93"
"27","all_products","1355","NaN","30.21"
"28","all_products","1558","NaN","30.53"
"29","all_products","1545","NaN","28.27"
"30","all_products","1546","NaN","23.48"
"31","all_products","1424","NaN","29.41"
"32","all_products","1498","NaN","25.54"
"33","all_products","gblock+IRE_plus18IRE","0.10","14.03"
"34","all_products","gblock+IRE_plus18IRE","0.10","13.84"
"35","all_products","gblock+IRE_plus18IRE","0.10","14.93"
"39","all_products","500","NaN","28.03"
"40","all_products","524","NaN","27.23"
"41","all_products","548","NaN","29.66"
"42","all_products","572","NaN","27.70"
"43","all_products","596","NaN","26.26"
"44","all_products","620","NaN","26.71"
"45","all_products","643","NaN","27.37"
"46","all_products","668","NaN","29.82"
"47","all_products","692","NaN","25.75"
"48","all_products","1809","NaN","26.28"
"49","all_products","1848","NaN","25.25"
"50","all_products","gblock+IRE_plus18IRE","10.00","8.73"
"51","all_products","gblock+IRE_plus18IRE","10.00","8.68"
"52","all_products","gblock+IRE_plus18IRE","10.00","8.64"
"56","all_products","1014","NaN","28.14"
"57","all_products","1051","NaN","25.35"
"58","all_products","1064","NaN","24.43"
"59","all_products","1026","NaN","27.79"
"60","all_products","1086","NaN","26.00"
"61","all_products","1258","NaN","24.57"
"62","all_products","1296","NaN","23.19"
"63","all_products","978","NaN","24.34"
"64","all_products","1440","NaN","17.18"
"65","all_products","1320","NaN","30.67"
"66","all_products","1535","NaN","30.21"
"67","all_products","1547","NaN","15.83"
"68","all_products","1426","NaN","10.16"
"69","all_products","1522","NaN","1"
"70","all_products","1342","NaN","28.29"
"71","all_products","gblock+IRE_plus18IRE","0.05","15.39"
"72","all_products","gblock+IRE_plus18IRE","0.05","14.90"
"73","all_products","gblock+IRE_plus18IRE","0.05","16.48"
"77","all_products","509","Nan","28.07"
"78","all_products","533","Nan","26.88"
"79","all_products","557","Nan","28.15"
"80","all_products","581","Nan","27.53"
"81","all_products","605","Nan","27.96"
"82","all_products","629","Nan","24.59"
"83","all_products","644","Nan","26.32"
"84","all_products","677","Nan","27.61"
"85","all_products","701","Nan","23.53"
"86","all_products","1810","Nan","25.08"
"87","all_products","1847","Nan","27.46"
"88","all_products","gblock+IRE_plus18IRE","5.00","10.07"
"89","all_products","gblock+IRE_plus18IRE","5.00","10.39"
"90","all_products","gblock+IRE_plus18IRE","5.00","8.98"
"94","all_products","1015","NaN","25.31"
"95","all_products","1038","NaN","24.16"
"96","all_products","1073","NaN","28.85"
"97","all_products","1049","NaN","25.00"
"98","all_products","1052","NaN","24.45"
"99","all_products","1305","NaN","22.92"
"100","all_products","1307","NaN","24.00"
"101","all_products","1026","NaN","19.37"
"102","all_products","1423","NaN","3.14"
"103","all_products","1344","NaN","28.93"
"104","all_products","1353","NaN","22.43"
"105","all_products","1488","NaN","22.26"
"106","all_products","1536","NaN","25.36"
"107","all_products","1329","NaN","10.10"
"108","all_products","gblock+IRE_plus18IRE","0.01","17.78"
"109","all_products","gblock+IRE_plus18IRE","0.01","15.93"
"110","all_products","gblock+IRE_plus18IRE","0.01","19.31"
"114","all_products","510","NaN","28.43"
"115","all_products","534","NaN","27.51"
"116","all_products","558","NaN","27.98"
"117","all_products","582","NaN","28.50"
"118","all_products","606","NaN","27.65"
"119","all_products","630","NaN","23.9"
"120","all_products","653","NaN","24.71"
"121","all_products","678","NaN","26.59"
"122","all_products","702","NaN","25.40"
"123","all_products","1811","NaN","27.72"
"124","all_products","1846","NaN","27.46"
"125","all_products","gblock+IRE_plus18IRE","1.00","12.04"
"126","all_products","gblock+IRE_plus18IRE","1.00","11.98"
"127","all_products","gblock+IRE_plus18IRE","1.00","11.24"
"131","all_products","1016","NaN","25.46"
"132","all_products","1037","NaN","27.84"
"133","all_products","1074","NaN","23.37"
"134","all_products","1199","NaN","25.09"
"135","all_products","1281","NaN","22.80"
"136","all_products","1293","NaN","24.26"
"137","all_products","1306","NaN","13.23"
"138","all_products","1462","NaN","16.85"
"139","all_products","1467","NaN","22.35"
"140","all_products","1390","NaN","21.56"
"141","all_products","1356","NaN","13.40"
"142","all_products","1378","NaN","23.5"
"143","all_products","1497","NaN","14.57"
"144","all_products","1524","NaN","1"
"145","all_products","1463","NaN","1"
"146","all_products","gblock+IRE_plus18IRE","0.005 ","19.49"
"147","all_products","gblock+IRE_plus18IRE","0.005 ","17.56"
"148","all_products","gblock+IRE_plus18IRE","0.005 ","20.09"
"152","all_products","511","NaN","28.39"
"153","all_products","535","NaN","26.78"
"154","all_products","559","NaN","27.52"
"155","all_products","583","NaN","30.85"
"156","all_products","607","NaN","27.96"
"157","all_products","631","NaN","27.79"
"158","all_products","654","NaN","27.00"
"159","all_products","679","NaN","26.07"
"160","all_products","703","NaN","26.27"
"161","all_products","1812","NaN","27.56"
"162","all_products","1845","NaN","26.75"
"163","all_products","gblock+IRE_plus18IRE","0.50","13.21"
"164","all_products","gblock+IRE_plus18IRE","0.50","12.98"
"165","all_products","gblock+IRE_plus18IRE","0.50","12.36"
"169","all_products","977","NaN","28.42"
"170","all_products","1013","NaN","23.75"
"171","all_products","1075","NaN","25.34"
"172","all_products","1259","NaN","24.38"
"173","all_products","1282","NaN","22.88"
"174","all_products","1223","NaN","27.75"
"175","all_products","1317","NaN","14.18"
"176","all_products","1380","NaN","21.59"
"177","all_products","1452","NaN","21.70"
"178","all_products","1389","NaN","25.89"
"179","all_products","1486","NaN","15.29"
"180","all_products","1523","NaN","33.15"
"181","all_products","1543","NaN","19.15"
"182","all_products","1449","NaN","18.81"
"183","all_products","1332","NaN","16.79"
"184","all_products","512","NaN","27.50"
"185","all_products","536","NaN","28.48"
"186","all_products","560","NaN","27.12"
"187","all_products","584","NaN","27.24"
"188","all_products","608","NaN","27.85"
"189","all_products","632","NaN","27.46"
"190","all_products","655","NaN","27.30"
"191","all_products","680","NaN","28.20"
"192","all_products","704","NaN","26.32"
"193","all_products","1824","NaN","27.80"
"194","all_products","1025","NaN","1"
"195","all_products","1039","NaN","24.53"
"196","all_products","1087","NaN","23.08"
"197","all_products","1260","NaN","24.41"
"198","all_products","1283","NaN","24.06"
"199","all_products","1294","NaN","23.17"
"200","all_products","1221","NaN","12.23"
"201","all_products","1521","NaN","18.69"
"202","all_products","1533","NaN","22.73"
"203","all_products","1392","NaN","23.05"
"204","all_products","1499","NaN","21.50"
"205","all_products","1450","NaN","24.34"
"206","all_products","1461","NaN","27.62"
"207","all_products","1485","NaN","24.03"
"208","all_products","521","NaN","28.01"
"209","all_products","545","NaN","24.30"
"210","all_products","569","NaN","26.92"
"211","all_products","593","NaN","25.70"
"212","all_products","617","NaN","29.69"
"213","all_products","656","NaN","25.46"
"214","all_products","665","NaN","29.81"
"215","all_products","689","NaN","27.46"
"216","all_products","713","NaN","28.91"
"217","all_products","1823","NaN","27.67"
"218","all_products","979","NaN","23.49"
"219","all_products","1200","NaN","23.66"
"220","all_products","1088","NaN","23.05"
"221","all_products","1245","NaN","24.03"
"222","all_products","1247","NaN","23.25"
"223","all_products","1284","NaN","23.35"
"224","all_products","1222","NaN","16.03"
"225","all_products","1487","NaN","20.88"
"226","all_products","1437","NaN","30.34"
"227","all_products","1500","NaN","20.74"
"228","all_products","1391","NaN","27.16"
"229","all_products","1377","NaN","1"
"230","all_products","522","NaN","2.19"
"231","all_products","546","NaN","33.96"
"232","all_products","570","NaN","34.67"
"233","all_products","594","NaN","35.81"
"234","all_products","618","NaN","36.03"
"235","all_products","641","NaN","33.44"
"236","all_products","666","NaN","33.99"
"237","all_products","690","NaN","36.01"
"238","all_products","714","NaN","32.13"
"239","all_products","1822","NaN"," 1.00"
"240","all_products","1076","NaN","16.4"
"241","all_products","1062","NaN","15.02"
"242","all_products","1027","NaN","23.95"
"243","all_products","1246","NaN","22.09"
"244","all_products","1248","NaN","22.76"
"245","all_products","1295","NaN","22.24"
"246","all_products","1224","NaN","16.27"
"247","all_products","1425","NaN","1"
"248","all_products","1341","NaN","31.73"
"249","all_products","1439","NaN","1"
"250","all_products","1557","NaN","29.63"
"251","all_products","1379","NaN","30.63"
"252","all_products","1354","NaN","28.77"
"253","all_products","1534","NaN","30.65"
"260","1","2","3","cpD1"
"261","reaction_type","unique_sampleID_number","starting_quantity","cpD1"
"262","test1","499","NaN","17.34"
"263","test1","523","NaN","16.13"
"264","test1","547","NaN","15.04"
"265","test1","571","NaN","17.07"
"266","test1","595","NaN","16.69"
"267","test1","619","NaN","16.56"
"268","test1","642","NaN","16.36"
"269","test1","667","NaN","18.49"
"270","test1","691","NaN","17.31"
"271","test1","715","NaN","17.36"
"272","test1","1821","NaN","17.21"
"273","test1","gblock+IRE_plus18IRE","50.000","8.66"
"274","test1","gblock+IRE_plus18IRE","50.000","10.25"
"275","test1","gblock+IRE_plus18IRE","50.000","9.25"
"276","test1","1050","NaN","13.42"
"277","test1","1040","NaN","17.20"
"278","test1","1063","NaN","13.18"
"279","test1","1061","NaN","19.23"
"280","test1","1085","NaN","13.64"
"281","test1","1275","NaN","14.71"
"282","test1","1308","NaN","13.85"
"283","test1","980","NaN","13.47"
"284","test1","1451","NaN","13.38"
"285","test1","1355","NaN","11.98"
"286","test1","1558","NaN","17.39"
"287","test1","1545","NaN","23.10"
"288","test1","1546","NaN","11.51"
"289","test1","1424","NaN","12.68"
"290","test1","1498","NaN","20.86"
"291","test1","gblock+IRE_plus18IRE","0.100","11.15"
"292","test1","gblock+IRE_plus18IRE","0.100","11.19"
"293","test1","gblock+IRE_plus18IRE","0.100","11.90"
"294","test1","500","NaN","16.65"
"295","test1","524","NaN","16.08"
"296","test1","548","NaN","14.65"
"297","test1","572","NaN","17.36"
"298","test1","596","NaN","15.63"
"299","test1","620","NaN","16.01"
"300","test1","643","NaN","15.84"
"301","test1","668","NaN","19.90"
"302","test1","692","NaN","15.50"
"303","test1","1809","NaN","16.61"
"304","test1","1848","NaN","14.40"
"305","test1","gblock+IRE_plus18IRE","10.000","7.76"
"306","test1","gblock+IRE_plus18IRE","10.000","7.67"
"307","test1","gblock+IRE_plus18IRE","10.000","8.08"
"308","test1","1014","NaN","15.36"
"309","test1","1051","NaN","14.86"
"310","test1","1064","NaN","14.43"
"311","test1","1026","NaN","13.49"
"312","test1","1086","NaN","12.87"
"313","test1","1258","NaN","14.21"
"314","test1","1296","NaN","10.72"
"315","test1","978","NaN","16.00"
"316","test1","1440","NaN","16.31"
"317","test1","1320","NaN","21.62"
"318","test1","1535","NaN","1"
"319","test1","1547","NaN","1"
"320","test1","1426","NaN","21.40"
"321","test1","1522","NaN","16.33"
"322","test1","1342","NaN","14.88"
"323","test1","gblock+IRE_plus18IRE","0.050","12.54"
"324","test1","gblock+IRE_plus18IRE","0.050","11.13"
"325","test1","gblock+IRE_plus18IRE","0.050","12.93"
"326","test1","509","NaN","18.00"
"327","test1","533","NaN","17.96"
"328","test1","557","NaN","13.79"
"329","test1","581","NaN","17.67"
"330","test1","605","NaN","16.43"
"331","test1","629","NaN","16.66"
"332","test1","644","NaN","15.62"
"333","test1","677","NaN","16.93"
"334","test1","701","NaN","13.58"
"335","test1","1810","NaN","13.9"
"336","test1","1847","NaN","16.32"
"337","test1","gblock+IRE_plus18IRE","5.000","8.68"
"338","test1","gblock+IRE_plus18IRE","5.000","9.7"
"339","test1","gblock+IRE_plus18IRE","5.000","9.80"
"340","test1","1015","NaN","16.34"
"341","test1","1038","NaN","16.01"
"342","test1","1073","NaN","11.86"
"343","test1","1049","NaN","13.39"
"344","test1","1052","NaN","12.96"
"345","test1","1305","NaN","14.12"
"346","test1","1307","NaN","14.64"
"347","test1","1026","NaN","13.82"
"348","test1","1423","NaN","14.37"
"349","test1","1318","NaN","20.30"
"350","test1","1344","NaN","16.36"
"351","test1","1353","NaN","21.93"
"352","test1","1488","NaN","16.17"
"353","test1","1536","NaN","13.21"
"354","test1","1329","NaN","16.62"
"355","test1","gblock+IRE_plus18IRE","0.010","13.78"
"356","test1","gblock+IRE_plus18IRE","0.010","12.58"
"357","test1","gblock+IRE_plus18IRE","0.010","14.74"
"358","test1","510","NaN","15.89"
"359","test1","534","NaN","17.04"
"360","test1","558","NaN","16.38"
"361","test1","582","NaN","16.05"
"362","test1","606","NaN","15.72"
"363","test1","630","NaN","16.84"
"364","test1","653","NaN","16.63"
"365","test1","678","NaN","16.73"
"366","test1","702","NaN","16.69"
"367","test1","1811","NaN","17.30"
"368","test1","1846","NaN","15.20"
"369","test1","gblock+IRE_plus18IRE","1.000","10.33"
"370","test1","gblock+IRE_plus18IRE","1.000","10.78"
"371","test1","gblock+IRE_plus18IRE","1.000","10.07"
"372","test1","1016","NaN","17.26"
"373","test1","1037","NaN","16.57"
"374","test1","1074","NaN","12.72"
"375","test1","1199","NaN","11.71"
"376","test1","1281","NaN","14.79"
"377","test1","1293","NaN","13.10"
"378","test1","1306","NaN","13.85"
"379","test1","1462","NaN","12.23"
"380","test1","1467","NaN","14.97"
"381","test1","1390","NaN","15.04"
"382","test1","1356","NaN","17.22"
"383","test1","1378","NaN","14.31"
"384","test1","1497","NaN","14.84"
"385","test1","1524","NaN","21.13"
"386","test1","1463","NaN","14.14"
"387","test1","gblock+IRE_plus18IRE","0.005","12.07"
"388","test1","gblock+IRE_plus18IRE","0.005","13.09"
"389","test1","gblock+IRE_plus18IRE","0.005","16.54"
"390","test1","511","NaN","16.19"
"391","test1","535","NaN","12.74"
"392","test1","559","NaN","15.01"
"393","test1","583","NaN","17.14"
"394","test1","607","NaN","15.37"
"395","test1","631","NaN","16.76"
"396","test1","654","NaN","15.25"
"397","test1","679","NaN","16.35"
"398","test1","703","NaN","15.28"
"399","test1","1812","NaN","15.15"
"400","test1","1845","NaN","15.06"
"401","test1","gblock+IRE_plus18IRE","0.500","10.85"
"402","test1","gblock+IRE_plus18IRE","0.500","11.12"
"403","test1","gblock+IRE_plus18IRE","0.500","11.12"
"404","test1","977","NaN","12.01"
"405","test1","1013","NaN","11.77"
"406","test1","1075","NaN","11.58"
"407","test1","1259","NaN","14.27"
"408","test1","1282","NaN","14.51"
"409","test1","1223","NaN","18.37"
"410","test1","1317","NaN","14.62"
"411","test1","1380","NaN","13.52"
"412","test1","1452","NaN","15.65"
"413","test1","1389","NaN","17.08"
"414","test1","1486","NaN","15.60"
"415","test1","1523","NaN","15.52"
"416","test1","1543","NaN","12.84"
"417","test1","1449","NaN","12.49"
"418","test1","1332","NaN","12.66"
"419","test1","512","NaN","15.68"
"420","test1","536","NaN","15.29"
"421","test1","560","NaN","14.56"
"422","test1","584","NaN","14.61"
"423","test1","608","NaN","14.88"
"424","test1","632","NaN","15.84"
"425","test1","655","NaN","16.2"
"426","test1","680","NaN","16.25"
"427","test1","704","NaN","15.21"
"428","test1","1824","NaN","15.94"
"429","test1","1025","NaN","13.68"
"430","test1","1039","NaN","14.76"
"431","test1","1087","NaN","13.19"
"432","test1","1260","NaN","13.98"
"433","test1","1283","NaN","12.68"
"434","test1","1294","NaN","14.88"
"435","test1","1221","NaN","14.08"
"436","test1","1521","NaN","13.39"
"437","test1","1533","NaN","21.94"
"438","test1","1392","NaN","1.34"
"439","test1","1499","NaN","18.90"
"440","test1","1450","NaN","14.87"
"441","test1","1461","NaN","12.59"
"442","test1","1486","NaN","12.88"
"443","test1","521","NaN","14.28"
"444","test1","545","NaN","15.61"
"445","test1","569","NaN","16.88"
"446","test1","593","NaN","13.60"
"447","test1","617","NaN","15.75"
"448","test1","656","NaN","15.00"
"449","test1","665","NaN","14.02"
"450","test1","689","NaN","16.01"
"451","test1","713","NaN","15.49"
"452","test1","1823","NaN","14.45"
"453","test1","979","NaN","15.13"
"454","test1","1200","NaN","14.65"
"455","test1","1088","NaN","13.46"
"456","test1","1245","NaN","14.89"
"457","test1","1247","NaN","13.81"
"458","test1","1284","NaN","16.59"
"459","test1","1222","NaN","17.06"
"460","test1","1487","NaN","14.58"
"461","test1","1437","NaN","20.17"
"462","test1","1500","NaN","16.31"
"463","test1","1391","NaN","20.45"
"464","test1","1377","NaN","13.96"
"465","test1","1508","NaN","14.46"
"466","test1","1438","NaN","17.15"
"467","test1","522","NaN","17.98"
"468","test1","546","NaN","18.85"
"469","test1","570","NaN","19.77"
"470","test1","594","NaN","20.35"
"471","test1","618","NaN","18.60"
"472","test1","641","NaN","20.50"
"473","test1","666","NaN","19.40"
"474","test1","690","NaN","21.92"
"475","test1","714","NaN","20.64"
"476","test1","1822","NaN","20.77"
"477","test1","1076","NaN","15.15"
"478","test1","1062","NaN","13.86"
"479","test1","1027","NaN","14.36"
"480","test1","1246","NaN","13.24"
"481","test1","1248","NaN","14.03"
"482","test1","1295","NaN","16.53"
"483","test1","1224","NaN","13.10"
"484","test1","1415","NaN","14.13"
"485","test1","1341","NaN","17.89"
"486","test1","1439","NaN","21.01"
"487","test1","1557","NaN","20.30"
"488","test1","1379","NaN","17.52"
"489","test1","1354","NaN","15.77"
"490","test1","1534","NaN","20.05"
